Hospital Name,Hospital Lat,Hospital Lon,Hospital Address,Beds Available,Doctors Available,Traffic Speed (km/h),Traffic Incident,Traffic Density,Traffic Severity Index,Weather Condition,Route Distance (km),Route Time Without Traffic (min),Route Time With Traffic (min),Route Start Time,Route End Time,Priority Level
"Dhanraj Hospital, Karpaga Vinayakar Koil Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.0017797,80.2033269,"Dhanraj Hospital, Karpaga Vinayakar Koil Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",18,9,25,Yes,Low,20,Fog,14.90042361412201,22.350635421183014,35.506325638920515,2025-02-13 08:53:17.679685,2025-02-13 09:28:48.059223,High
"Cu Shah Sankara Netralaya, Station Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Kanchipuram, Chennai, Tamil Nadu, 600016, India",13.0012687,80.2001283,"Cu Shah Sankara Netralaya, Station Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Kanchipuram, Chennai, Tamil Nadu, 600016, India",21,9,35,No,High,78,Rain,6.55760518972331,9.836407784584965,16.83023731831028,2025-02-13 09:31:17.679685,2025-02-13 09:48:07.493924,Low
"S.S. Hospital, Sowri street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.0036449,80.2030844,"S.S. Hospital, Sowri street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",11,9,30,No,Moderate,23,Rain,12.082426352526463,18.123639528789695,28.86690142864017,2025-02-13 09:32:17.679685,2025-02-13 10:01:09.693771,High
"Government Hospital Alandur, Vishnu Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, St. Thomas Mount Cantonment, Alandur, Chennai, Tamil Nadu, 600016, India",13.0048164,80.2025432,"Government Hospital Alandur, Vishnu Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, St. Thomas Mount Cantonment, Alandur, Chennai, Tamil Nadu, 600016, India",17,5,25,Yes,Low,20,Rain,5.934170147130505,8.901255220695758,15.107271789122866,2025-02-13 09:29:17.679685,2025-02-13 09:44:24.115992,High
"Kaanthi Makapperu Hospital, Sowri street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.003406,80.2063632,"Kaanthi Makapperu Hospital, Sowri street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",28,8,30,No,Moderate,10,Snow,17.802018517359038,26.703027776038557,38.35513109692789,2025-02-13 08:45:17.679685,2025-02-13 09:23:38.987551,Low
"Jaya Sri Hospital, MKN Road, CMWSSB Division 160, Ward 160, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.0027883,80.207025,"Jaya Sri Hospital, MKN Road, CMWSSB Division 160, Ward 160, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Chengalpattu, Chennai, Tamil Nadu, 600016, India",16,9,20,Yes,Moderate,12,Fog,6.261623062349603,9.392434593524404,23.44793597346332,2025-02-13 08:50:17.679685,2025-02-13 09:13:44.555843,Low
"G. R. Hospital & Fertility Centre, City Link Road, CMWSSB Division 160, Zone 13 Adyar, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600088, India",12.9952982,80.2068955,"G. R. Hospital & Fertility Centre, City Link Road, CMWSSB Division 160, Zone 13 Adyar, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600088, India",28,10,20,No,Low,13,Snow,18.82680483426775,28.24020725140163,36.5765625651864,2025-02-13 09:31:17.679685,2025-02-13 10:07:52.273439,Low
"Balaji Hospital (P) Ltd, Anna Salai (Mount Road), Ward 170, Zone 13 Adyar, Alandur, Chennai, Tamil Nadu, 600032, India",13.00738175,80.20608622840193,"Balaji Hospital (P) Ltd, Anna Salai (Mount Road), Ward 170, Zone 13 Adyar, Alandur, Chennai, Tamil Nadu, 600032, India",30,7,35,Yes,Moderate,27,Fog,8.820023709190357,13.230035563785535,25.386857141211067,2025-02-13 09:05:17.679685,2025-02-13 09:30:40.891113,Low
"SP Hospital, Mount - Medavakkam Road, CMWSSB Division 163, Ward 163, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",12.9933638,80.2009134,"SP Hospital, Mount - Medavakkam Road, CMWSSB Division 163, Ward 163, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",19,9,20,Yes,Moderate,15,Rain,12.747271405153498,19.120907107730247,32.383571069989955,2025-02-13 09:17:17.679685,2025-02-13 09:49:40.693949,Low
"Ponmalligai Hospital Pvt Ltd, Kakkan Nagar Main Road, Ward 177, Zone 13 Adyar, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",12.9925116,80.2061465,"Ponmalligai Hospital Pvt Ltd, Kakkan Nagar Main Road, Ward 177, Zone 13 Adyar, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",18,10,20,Yes,Moderate,18,Snow,11.938595505128719,17.90789325769308,29.867888114690746,2025-02-13 09:01:17.679685,2025-02-13 09:31:09.752972,Medium
